REG;Région;DEP;CODCAN;CAN;Canton;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;01;01;0101;Ambérieu-en-Bugey;18;31035;31798
84;Auvergne-Rhône-Alpes;01;02;0102;Attignat;18;25242;25760
84;Auvergne-Rhône-Alpes;01;03;0103;Valserhône;12;21796;22238
84;Auvergne-Rhône-Alpes;01;04;0104;Belley;33;25300;26002
84;Auvergne-Rhône-Alpes;01;05;0105;Bourg-en-Bresse-1;2;35439;36635
84;Auvergne-Rhône-Alpes;01;06;0106;Bourg-en-Bresse-2;4;26348;27404
84;Auvergne-Rhône-Alpes;01;07;0107;Ceyzériat;22;26568;27156
84;Auvergne-Rhône-Alpes;01;08;0108;Châtillon-sur-Chalaronne;26;30943;31684
84;Auvergne-Rhône-Alpes;01;09;0109;Gex;7;33017;33771
84;Auvergne-Rhône-Alpes;01;10;0110;Plateau d’Hauteville;27;22012;22539
84;Auvergne-Rhône-Alpes;01;11;0111;Lagnieu;25;35049;35795
84;Auvergne-Rhône-Alpes;01;12;0112;Meximieux;15;34184;34711
84;Auvergne-Rhône-Alpes;01;13;0113;Miribel;8;29789;30300
84;Auvergne-Rhône-Alpes;01;14;0114;Nantua;17;21652;22420
84;Auvergne-Rhône-Alpes;01;15;0115;Oyonnax;2;25686;26176
84;Auvergne-Rhône-Alpes;01;16;0116;Pont-d'Ain;24;22163;22647
84;Auvergne-Rhône-Alpes;01;17;0117;Replonges;31;31296;31998
84;Auvergne-Rhône-Alpes;01;18;0118;Saint-Étienne-du-Bois;26;22783;23248
84;Auvergne-Rhône-Alpes;01;19;0119;Saint-Genis-Pouilly;4;39231;40044
84;Auvergne-Rhône-Alpes;01;20;0120;Thoiry;16;29779;30540
84;Auvergne-Rhône-Alpes;01;21;0121;Trévoux;12;34312;35282
84;Auvergne-Rhône-Alpes;01;22;0122;Villars-les-Dombes;25;34734;35433
84;Auvergne-Rhône-Alpes;01;23;0123;Vonnas;19;24844;25400
32;Hauts-de-France;02;01;0201;Bohain-en-Vermandois;31;21910;22262
32;Hauts-de-France;02;02;0202;Château-Thierry;21;27903;28480
32;Hauts-de-France;02;03;0203;Chauny;21;23774;24443
32;Hauts-de-France;02;04;0204;Essômes-sur-Marne;47;29030;29647
32;Hauts-de-France;02;05;0205;Fère-en-Tardenois;77;27541;28012
32;Hauts-de-France;02;06;0206;Villeneuve-sur-Aisne;76;26323;26902
32;Hauts-de-France;02;07;0207;Guise;45;23019;23404
32;Hauts-de-France;02;08;0208;Hirson;26;20779;21142
32;Hauts-de-France;02;09;0209;Laon-1;27;24708;25198
32;Hauts-de-France;02;10;0210;Laon-2;25;24808;25487
32;Hauts-de-France;02;11;0211;Marle;65;19497;19961
32;Hauts-de-France;02;12;0212;Ribemont;52;26067;26503
32;Hauts-de-France;02;13;0213;Saint-Quentin-1;25;28510;29225
32;Hauts-de-France;02;14;0214;Saint-Quentin-2;11;22690;23335
32;Hauts-de-France;02;15;0215;Saint-Quentin-3;9;27189;27624
32;Hauts-de-France;02;16;0216;Soissons-1;15;23346;23690
32;Hauts-de-France;02;17;0217;Soissons-2;13;29238;29987
32;Hauts-de-France;02;18;0218;Tergnier;24;29200;29760
32;Hauts-de-France;02;19;0219;Vervins;66;21055;21765
32;Hauts-de-France;02;20;0220;Vic-sur-Aisne;50;20944;21413
32;Hauts-de-France;02;21;0221;Villers-Cotterêts;76;29937;30859
84;Auvergne-Rhône-Alpes;03;01;0301;Bellerive-sur-Allier;11;19400;19949
84;Auvergne-Rhône-Alpes;03;02;0302;Bourbon-l'Archambault;28;16667;17041
84;Auvergne-Rhône-Alpes;03;03;0303;Commentry;24;17996;18467
84;Auvergne-Rhône-Alpes;03;04;0304;Cusset;4;17573;18167
84;Auvergne-Rhône-Alpes;03;05;0305;Dompierre-sur-Besbre;32;19868;20350
84;Auvergne-Rhône-Alpes;03;06;0306;Gannat;41;19837;20320
84;Auvergne-Rhône-Alpes;03;07;0307;Huriel;29;15689;15983
84;Auvergne-Rhône-Alpes;03;08;0308;Lapalisse;31;17798;18284
84;Auvergne-Rhône-Alpes;03;09;0309;Montluçon-1;4;15527;15832
84;Auvergne-Rhône-Alpes;03;10;0310;Montluçon-2;2;15400;16002
84;Auvergne-Rhône-Alpes;03;11;0311;Montluçon-3;15;18027;18552
84;Auvergne-Rhône-Alpes;03;12;0312;Montluçon-4;7;15917;16269
84;Auvergne-Rhône-Alpes;03;13;0313;Moulins-1;7;17566;18393
84;Auvergne-Rhône-Alpes;03;14;0314;Moulins-2;23;19057;19451
84;Auvergne-Rhône-Alpes;03;15;0315;Saint-Pourçain-sur-Sioule;22;19001;19407
84;Auvergne-Rhône-Alpes;03;16;0316;Souvigny;29;14905;15228
84;Auvergne-Rhône-Alpes;03;17;0317;Vichy-1;4;18815;19038
84;Auvergne-Rhône-Alpes;03;18;0318;Vichy-2;3;18880;19172
84;Auvergne-Rhône-Alpes;03;19;0319;Yzeure;6;16949;17580
93;Provence-Alpes-Côte d'Azur;04;01;0401;Barcelonnette;14;7712;8018
93;Provence-Alpes-Côte d'Azur;04;02;0402;Castellane;32;9771;9980
93;Provence-Alpes-Côte d'Azur;04;03;0403;Château-Arnoux-Saint-Auban;8;12451;12711
93;Provence-Alpes-Côte d'Azur;04;04;0404;Digne-les-Bains-1;7;12105;12717
93;Provence-Alpes-Côte d'Azur;04;05;0405;Digne-les-Bains-2;7;12640;13120
93;Provence-Alpes-Côte d'Azur;04;06;0406;Forcalquier;15;11411;11634
93;Provence-Alpes-Côte d'Azur;04;07;0407;Manosque-1;3;12505;12780
93;Provence-Alpes-Côte d'Azur;04;08;0408;Manosque-2;3;10176;10450
93;Provence-Alpes-Côte d'Azur;04;09;0409;Manosque-3;3;12498;12935
93;Provence-Alpes-Côte d'Azur;04;10;0410;Oraison;3;14220;14475
93;Provence-Alpes-Côte d'Azur;04;11;0411;Reillanne;21;10998;11197
93;Provence-Alpes-Côte d'Azur;04;12;0412;Riez;26;9052;9296
93;Provence-Alpes-Côte d'Azur;04;13;0413;Seyne;34;8426;8628
93;Provence-Alpes-Côte d'Azur;04;14;0414;Sisteron;15;13151;13581
93;Provence-Alpes-Côte d'Azur;04;15;0415;Valensole;10;8961;9128
93;Provence-Alpes-Côte d'Azur;05;01;0501;L'Argentière-la-Bessée;8;6573;6758
93;Provence-Alpes-Côte d'Azur;05;02;0502;Briançon-1;10;8769;9008
93;Provence-Alpes-Côte d'Azur;05;03;0503;Briançon-2;4;10053;10369
93;Provence-Alpes-Côte d'Azur;05;04;0504;Chorges;17;11170;11458
93;Provence-Alpes-Côte d'Azur;05;05;0505;Embrun;8;11232;11707
93;Provence-Alpes-Côte d'Azur;05;06;0506;Gap-1;1;10350;10583
93;Provence-Alpes-Côte d'Azur;05;07;0507;Gap-2;1;10237;10800
93;Provence-Alpes-Côte d'Azur;05;08;0508;Gap-3;1;10349;10598
93;Provence-Alpes-Côte d'Azur;05;09;0509;Gap-4;1;9564;9954
93;Provence-Alpes-Côte d'Azur;05;10;0510;Guillestre;15;7909;8110
93;Provence-Alpes-Côte d'Azur;05;11;0511;Laragne-Montéglin;11;7802;7991
93;Provence-Alpes-Côte d'Azur;05;12;0512;Saint-Bonnet-en-Champsaur;25;11409;11752
93;Provence-Alpes-Côte d'Azur;05;13;0513;Serres;37;7564;7740
93;Provence-Alpes-Côte d'Azur;05;14;0514;Tallard;19;10925;11199
93;Provence-Alpes-Côte d'Azur;05;15;0515;Veynes;8;7070;7330
93;Provence-Alpes-Côte d'Azur;06;01;0601;Antibes-1;2;39485;39800
93;Provence-Alpes-Côte d'Azur;06;02;0602;Antibes-2;1;30422;30675
93;Provence-Alpes-Côte d'Azur;06;03;0603;Antibes-3;2;36750;37438
93;Provence-Alpes-Côte d'Azur;06;04;0604;Beausoleil;7;32642;32997
93;Provence-Alpes-Côte d'Azur;06;05;0605;Cagnes-sur-Mer-1;1;43861;44199
93;Provence-Alpes-Côte d'Azur;06;06;0606;Cagnes-sur-Mer-2;3;46793;47217
93;Provence-Alpes-Côte d'Azur;06;07;0607;Cannes-1;2;48105;48498
93;Provence-Alpes-Côte d'Azur;06;08;0608;Cannes-2;1;39374;39848
93;Provence-Alpes-Côte d'Azur;06;09;0609;Le Cannet;2;47050;47722
93;Provence-Alpes-Côte d'Azur;06;10;0610;Contes;20;37308;37771
93;Provence-Alpes-Côte d'Azur;06;11;0611;Grasse-1;19;43538;44345
93;Provence-Alpes-Côte d'Azur;06;12;0612;Grasse-2;2;40264;41022
93;Provence-Alpes-Côte d'Azur;06;13;0613;Mandelieu-la-Napoule;5;39655;40205
93;Provence-Alpes-Côte d'Azur;06;14;0614;Menton;6;47168;47821
93;Provence-Alpes-Côte d'Azur;06;15;0615;Nice-1;1;43804;44218
93;Provence-Alpes-Côte d'Azur;06;16;0616;Nice-2;1;49222;49649
93;Provence-Alpes-Côte d'Azur;06;17;0617;Nice-3;4;45295;45742
93;Provence-Alpes-Côte d'Azur;06;18;0618;Nice-4;1;41751;42105
93;Provence-Alpes-Côte d'Azur;06;19;0619;Nice-5;1;46963;47258
93;Provence-Alpes-Côte d'Azur;06;20;0620;Nice-6;1;41919;42524
93;Provence-Alpes-Côte d'Azur;06;21;0621;Nice-7;3;41772;42000
93;Provence-Alpes-Côte d'Azur;06;22;0622;Nice-8;1;39946;40107
93;Provence-Alpes-Côte d'Azur;06;23;0623;Nice-9;1;32457;32740
93;Provence-Alpes-Côte d'Azur;06;24;0624;Tourrette-Levens;28;36552;37483
93;Provence-Alpes-Côte d'Azur;06;25;0625;Valbonne;12;38206;39320
93;Provence-Alpes-Côte d'Azur;06;26;0626;Vence;47;38317;38914
93;Provence-Alpes-Côte d'Azur;06;27;0627;Villeneuve-Loubet;4;35322;35943
84;Auvergne-Rhône-Alpes;07;01;0701;Annonay-1;7;20400;21020
84;Auvergne-Rhône-Alpes;07;02;0702;Annonay-2;10;16670;17156
84;Auvergne-Rhône-Alpes;07;03;0703;Aubenas-1;15;17591;18198
84;Auvergne-Rhône-Alpes;07;04;0704;Aubenas-2;15;21120;21938
84;Auvergne-Rhône-Alpes;07;05;0705;Bourg-Saint-Andéol;9;19044;19471
84;Auvergne-Rhône-Alpes;07;06;0706;Haut-Eyrieux;44;17810;18344
84;Auvergne-Rhône-Alpes;07;07;0707;Guilherand-Granges;5;22315;22797
84;Auvergne-Rhône-Alpes;07;08;0708;Haut-Vivarais;31;21562;21991
84;Auvergne-Rhône-Alpes;07;09;0709;Le Pouzin;13;16845;17155
84;Auvergne-Rhône-Alpes;07;10;0710;Privas;15;20815;21494
84;Auvergne-Rhône-Alpes;07;11;0711;Sarras;19;16378;16721
84;Auvergne-Rhône-Alpes;07;12;0712;Berg-Helvie;19;21992;22526
84;Auvergne-Rhône-Alpes;07;13;0713;Haute-Ardèche;40;13991;14282
84;Auvergne-Rhône-Alpes;07;14;0714;Tournon-sur-Rhône;13;21721;22551
84;Auvergne-Rhône-Alpes;07;15;0715;Vallon-Pont-d'Arc;30;21214;21652
84;Auvergne-Rhône-Alpes;07;16;0716;Les Cévennes Ardéchoises;35;19120;19479
84;Auvergne-Rhône-Alpes;07;17;0717;Rhône-Eyrieux;17;22827;23268
44;Grand Est;08;01;0801;Attigny;79;11906;12222
44;Grand Est;08;02;0802;Bogny-sur-Meuse;12;14719;15029
44;Grand Est;08;03;0803;Carignan;38;15841;16110
44;Grand Est;08;04;0804;Charleville-Mézières-1;8;15214;15502
44;Grand Est;08;05;0805;Charleville-Mézières-2;6;16308;16592
44;Grand Est;08;06;0806;Charleville-Mézières-3;2;15892;16455
44;Grand Est;08;07;0807;Charleville-Mézières-4;2;14505;14703
44;Grand Est;08;08;0808;Château-Porcien;47;15845;16119
44;Grand Est;08;09;0809;Givet;12;14038;14352
44;Grand Est;08;10;0810;Nouvion-sur-Meuse;32;13930;14247
44;Grand Est;08;11;0811;Rethel;18;14162;14542
44;Grand Est;08;12;0812;Revin;7;11794;12027
44;Grand Est;08;13;0813;Rocroi;33;15122;15421
44;Grand Est;08;14;0814;Sedan-1;9;13179;13456
44;Grand Est;08;15;0815;Sedan-2;8;10875;11100
44;Grand Est;08;16;0816;Sedan-3;8;12818;13130
44;Grand Est;08;17;0817;Signy-l'Abbaye;71;15480;15756
44;Grand Est;08;18;0818;Villers-Semeuse;11;14315;14763
44;Grand Est;08;19;0819;Vouziers;51;12916;13257
76;Occitanie;09;01;0901;Haute-Ariège;47;6394;6564
76;Occitanie;09;02;0902;Arize-Lèze;27;11039;11203
76;Occitanie;09;03;0903;Couserans Est;37;9662;9838
76;Occitanie;09;04;0904;Couserans Ouest;29;10798;11292
76;Occitanie;09;05;0905;Foix;6;13481;13972
76;Occitanie;09;06;0906;Mirepoix;35;13283;13641
76;Occitanie;09;07;0907;Pamiers-1;14;12750;13044
76;Occitanie;09;08;0908;Pamiers-2;8;15504;15991
76;Occitanie;09;09;0909;Pays d'Olmes;23;12220;12460
76;Occitanie;09;10;0910;Portes d'Ariège;16;13642;13974
76;Occitanie;09;11;0911;Portes du Couserans;28;9518;9725
76;Occitanie;09;12;0912;Sabarthès;29;11486;11729
76;Occitanie;09;13;0913;Val d'Ariège;28;14819;15145
44;Grand Est;10;01;1001;Aix-Villemaur-Pâlis;36;17653;17924
44;Grand Est;10;02;1002;Arcis-sur-Aube;47;14964;15265
44;Grand Est;10;03;1003;Bar-sur-Aube;48;13135;13504
44;Grand Est;10;04;1004;Bar-sur-Seine;46;16222;16680
44;Grand Est;10;05;1005;Brienne-le-Château;53;13891;14146
44;Grand Est;10;06;1006;Creney-près-Troyes;33;17814;18370
44;Grand Est;10;07;1007;Nogent-sur-Seine;23;16511;16811
44;Grand Est;10;08;1008;Les Riceys;57;14355;14977
44;Grand Est;10;09;1009;Romilly-sur-Seine;6;18866;19251
44;Grand Est;10;10;1010;Saint-André-les-Vergers;5;24565;25197
44;Grand Est;10;11;1011;Saint-Lyé;33;16350;16658
44;Grand Est;10;12;1012;Troyes-1;1;20744;21053
44;Grand Est;10;13;1013;Troyes-2;3;21203;21639
44;Grand Est;10;14;1014;Troyes-3;2;21400;21838
44;Grand Est;10;15;1015;Troyes-4;4;22037;22345
44;Grand Est;10;16;1016;Troyes-5;1;18568;18910
44;Grand Est;10;17;1017;Vendeuvre-sur-Barse;37;23051;23559
76;Occitanie;11;01;1101;La Piège au Razès;72;20381;20863
76;Occitanie;11;02;1102;Carcassonne-1;1;14594;15000
76;Occitanie;11;03;1103;Carcassonne-2;9;21679;22322
76;Occitanie;11;04;1104;Carcassonne-3;7;21934;22323
76;Occitanie;11;05;1105;Le Bassin chaurien;22;23665;24476
76;Occitanie;11;06;1106;Les Basses Plaines de l'Aude;6;21117;21468
76;Occitanie;11;07;1107;Les Corbières;54;16326;16575
76;Occitanie;11;08;1108;Le Lézignanais;10;16638;16950
76;Occitanie;11;09;1109;La Région Limouxine;35;20095;20735
76;Occitanie;11;10;1110;La Malepère à la Montagne Noire;27;17636;18337
76;Occitanie;11;11;1111;Narbonne-1;5;26746;27154
76;Occitanie;11;12;1112;Narbonne-2;3;22267;22827
76;Occitanie;11;13;1113;Narbonne-3;1;18332;18721
76;Occitanie;11;14;1114;La Haute-Vallée de l'Aude;82;17664;18019
76;Occitanie;11;15;1115;Le Haut-Minervois;23;15847;16110
76;Occitanie;11;16;1116;Le Sud-Minervois;18;24370;24785
76;Occitanie;11;17;1117;Les Corbières Méditerranée;11;23687;24035
76;Occitanie;11;18;1118;La Montagne d'Alaric;29;15936;16280
76;Occitanie;11;19;1119;La Vallée de l'Orbiel;22;17114;17470
76;Occitanie;12;01;1201;Aubrac et Carladez;21;10004;10238
76;Occitanie;12;02;1202;Aveyron et Tarn;17;10555;10903
76;Occitanie;12;03;1203;Causse-Comtal;7;12250;12584
76;Occitanie;12;04;1204;Causses-Rougiers;43;12671;13003
76;Occitanie;12;05;1205;Ceor-Ségala;18;13991;14459
76;Occitanie;12;06;1206;Enne et Alzou;11;12973;13451
76;Occitanie;12;07;1207;Lot et Dourdou;11;12766;13191
76;Occitanie;12;08;1208;Lot et Montbazinois;16;11913;12227
76;Occitanie;12;09;1209;Lot et Palanges;13;10440;10680
76;Occitanie;12;10;1210;Lot et Truyère;14;10217;10509
76;Occitanie;12;11;1211;Millau-1;4;14684;15266
76;Occitanie;12;12;1212;Millau-2;6;13892;14204
76;Occitanie;12;13;1213;Monts du Réquistanais;14;10707;11040
76;Occitanie;12;14;1214;Nord-Lévezou;4;13628;14036
76;Occitanie;12;15;1215;Raspes et Lévezou;22;10833;11121
76;Occitanie;12;16;1216;Rodez-1;1;11906;12844
76;Occitanie;12;17;1217;Rodez-2;2;12476;13409
76;Occitanie;12;18;1218;Rodez-Onet;2;14006;14634
76;Occitanie;12;19;1219;Saint-Affrique;11;12570;13307
76;Occitanie;12;20;1220;Tarn et Causses;18;10329;10654
76;Occitanie;12;21;1221;Vallon;10;12936;13307
76;Occitanie;12;22;1222;Villefranche-de-Rouergue;3;13135;13656
76;Occitanie;12;23;1223;Villeneuvois et Villefranchois;20;10767;11043
93;Provence-Alpes-Côte d'Azur;13;01;1301;Aix-en-Provence-1;1;73059;75127
93;Provence-Alpes-Côte d'Azur;13;02;1302;Aix-en-Provence-2;1;74419;75514
93;Provence-Alpes-Côte d'Azur;13;03;1303;Allauch;10;73635;74519
93;Provence-Alpes-Côte d'Azur;13;04;1304;Arles;3;60981;61779
93;Provence-Alpes-Côte d'Azur;13;05;1305;Aubagne;3;62584;63161
93;Provence-Alpes-Côte d'Azur;13;06;1306;Berre-l'Étang;9;72431;73370
93;Provence-Alpes-Côte d'Azur;13;07;1307;Châteaurenard;15;74901;76019
93;Provence-Alpes-Côte d'Azur;13;08;1308;La Ciotat;7;73584;74491
93;Provence-Alpes-Côte d'Azur;13;09;1309;Gardanne;5;65105;65950
93;Provence-Alpes-Côte d'Azur;13;10;1310;Istres;3;65862;66830
93;Provence-Alpes-Côte d'Azur;13;11;1311;Marignane;7;85228;86009
93;Provence-Alpes-Côte d'Azur;13;12;1312;Marseille-1;1;75801;76191
93;Provence-Alpes-Côte d'Azur;13;13;1313;Marseille-2;1;70808;71003
93;Provence-Alpes-Côte d'Azur;13;14;1314;Marseille-3;1;63956;64216
93;Provence-Alpes-Côte d'Azur;13;15;1315;Marseille-4;1;58888;59073
93;Provence-Alpes-Côte d'Azur;13;16;1316;Marseille-5;1;69232;69672
93;Provence-Alpes-Côte d'Azur;13;17;1317;Marseille-6;1;72962;73425
93;Provence-Alpes-Côte d'Azur;13;18;1318;Marseille-7;1;83224;84047
93;Provence-Alpes-Côte d'Azur;13;19;1319;Marseille-8;1;72568;73068
93;Provence-Alpes-Côte d'Azur;13;20;1320;Marseille-9;1;75707;76775
93;Provence-Alpes-Côte d'Azur;13;21;1321;Marseille-10;1;78543;79254
93;Provence-Alpes-Côte d'Azur;13;22;1322;Marseille-11;1;74765;75238
93;Provence-Alpes-Côte d'Azur;13;23;1323;Marseille-12;1;76622;77276
93;Provence-Alpes-Côte d'Azur;13;24;1324;Martigues;2;64704;65407
93;Provence-Alpes-Côte d'Azur;13;25;1325;Pélissanne;13;59854;61246
93;Provence-Alpes-Côte d'Azur;13;26;1326;Salon-de-Provence-1;15;65072;66141
93;Provence-Alpes-Côte d'Azur;13;27;1327;Salon-de-Provence-2;4;71248;72354
93;Provence-Alpes-Côte d'Azur;13;28;1328;Trets;18;73702;75340
93;Provence-Alpes-Côte d'Azur;13;29;1329;Vitrolles;4;67498;68503
28;Normandie;14;01;1401;Les Monts d’Aunay;29;25404;25778
28;Normandie;14;02;1402;Bayeux;34;29213;29858
28;Normandie;14;03;1403;Thue-et-Mue;26;28654;29188
28;Normandie;14;04;1404;Cabourg;34;29947;30451
28;Normandie;14;05;1405;Caen-1;5;28965;29452
28;Normandie;14;06;1406;Caen-2;6;30240;30659
28;Normandie;14;07;1407;Caen-3;2;27468;28474
28;Normandie;14;08;1408;Caen-4;1;27967;28400
28;Normandie;14;09;1409;Caen-5;5;27889;28233
28;Normandie;14;10;1410;Condé-en-Normandie;9;22936;23556
28;Normandie;14;11;1411;Courseulles-sur-Mer;21;28660;29261
28;Normandie;14;12;1412;Évrecy;28;35192;35711
28;Normandie;14;13;1413;Falaise;57;26613;27192
28;Normandie;14;14;1414;Hérouville-Saint-Clair;2;29249;29524
