DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
01;015;01015;Arboys en Bugey;01;015;01015;Arbignieu;525;12;537
01;025;01025;Bâgé-Dommartin;01;025;01025;Bâgé-la-Ville;3178;73;3251
01;033;01033;Valserhône;01;033;01033;Bellegarde-sur-Valserine;11268;219;11487
01;036;01036;Valromey-sur-Séran;01;036;01036;Belmont-Luthézieu;608;12;620
01;138;01138;Culoz-Béon;01;039;01039;Béon;429;7;436
01;453;01453;Arvière-en-Valromey;01;059;01059;Brénaz;101;2;103
01;080;01080;Champdor-Corcelles;01;080;01080;Champdor;440;12;452
01;033;01033;Valserhône;01;091;01091;Châtillon-en-Michaille;3973;77;4050
01;453;01453;Arvière-en-Valromey;01;097;01097;Chavornay;200;4;204
01;080;01080;Champdor-Corcelles;01;119;01119;Corcelles;205;3;208
01;262;01262;Montluel;01;120;01120;Cordieux;530;8;538
01;185;01185;Plateau d'Hauteville;01;122;01122;Cormaranche-en-Bugey;789;58;847
01;130;01130;Bresse Vallons;01;130;01130;Cras-sur-Reyssouze;1512;18;1530
01;426;01426;Val-Revermont;01;137;01137;Cuisiat;579;13;592
01;138;01138;Culoz-Béon;01;138;01138;Culoz;2997;62;3059
01;025;01025;Bâgé-Dommartin;01;144;01144;Dommartin;887;30;917
01;130;01130;Bresse Vallons;01;154;01154;Étrez;868;20;888
01;338;01338;Groslée-Saint-Benoit;01;182;01182;Groslée;322;8;330
01;185;01185;Plateau d'Hauteville;01;185;01185;Hauteville-Lompnes;3620;92;3712
01;185;01185;Plateau d'Hauteville;01;186;01186;Hostiaz;92;2;94
01;204;01204;Le Poizat-Lalleyriat;01;204;01204;Lalleyriat;257;8;265
01;033;01033;Valserhône;01;205;01205;Lancrans;1054;20;1074
01;215;01215;Surjoux-Lhopital;01;215;01215;Lhôpital;45;2;47
01;453;01453;Arvière-en-Valromey;01;218;01218;Lochieu;82;1;83
01;036;01036;Valromey-sur-Séran;01;221;01221;Lompnieu;134;1;135
01;286;01286;Parves et Nattages;01;271;01271;Nattages;594;24;618
01;286;01286;Parves et Nattages;01;286;01286;Parves;361;13;374
01;204;01204;Le Poizat-Lalleyriat;01;300;01300;Le Poizat;489;8;497
01;426;01426;Val-Revermont;01;312;01312;Pressiat;256;1;257
01;245;01245;Bohas-Meyriat-Rignat;01;324;01324;Rignat;268;2;270
01;338;01338;Groslée-Saint-Benoit;01;338;01338;Saint-Benoît;916;18;934
01;015;01015;Arboys en Bugey;01;340;01340;Saint-Bois;142;3;145
01;215;01215;Surjoux-Lhopital;01;413;01413;Surjoux;96;2;98
01;036;01036;Valromey-sur-Séran;01;414;01414;Sutrieu;220;4;224
01;185;01185;Plateau d'Hauteville;01;417;01417;Thézillieu;306;6;312
01;426;01426;Val-Revermont;01;426;01426;Treffort;1665;38;1703
01;036;01036;Valromey-sur-Séran;01;442;01442;Vieu;380;7;387
01;453;01453;Arvière-en-Valromey;01;453;01453;Virieu-le-Petit;330;9;339
02;018;02018;Anizy-le-Grand;02;018;02018;Anizy-le-Château;1961;30;1991
02;458;02458;Dhuys et Morin-en-Brie;02;026;02026;Artonges;172;2;174
02;053;02053;Vallées en Champagne;02;053;02053;Baulne-en-Brie;289;7;296
02;054;02054;Bazoches-et-Saint-Thibaut;02;054;02054;Bazoches-sur-Vesles;439;17;456
02;564;02564;Bernoy-le-Château;02;077;02077;Berzy-le-Sec;373;11;384
02;458;02458;Dhuys et Morin-en-Brie;02;147;02147;La Celle-sous-Montmirail;104;3;107
02;153;02153;Cessières-Suzy;02;153;02153;Cessières;474;12;486
02;053;02053;Vallées en Champagne;02;161;02161;La Chapelle-Monthodon;199;4;203
