REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;05;0105305;Bourg-en-Bresse-1;28631;1069;29700
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;06;0105306;Bourg-en-Bresse-2;12894;616;13510
32;Hauts-de-France;02;408;Laon;09;0240809;Laon-1;8605;161;8766
32;Hauts-de-France;02;408;Laon;10;0240810;Laon-2;15416;484;15900
32;Hauts-de-France;02;691;Saint-Quentin;13;0269113;Saint-Quentin-1;18684;470;19154
32;Hauts-de-France;02;691;Saint-Quentin;14;0269114;Saint-Quentin-2;18172;497;18669
32;Hauts-de-France;02;691;Saint-Quentin;15;0269115;Saint-Quentin-3;16102;241;16343
32;Hauts-de-France;02;722;Soissons;16;0272216;Soissons-1;11156;155;11311
32;Hauts-de-France;02;722;Soissons;17;0272217;Soissons-2;17549;507;18056
84;Auvergne-Rhône-Alpes;03;185;Montluçon;09;0318509;Montluçon-1;3603;72;3675
84;Auvergne-Rhône-Alpes;03;185;Montluçon;10;0318510;Montluçon-2;11013;510;11523
84;Auvergne-Rhône-Alpes;03;185;Montluçon;11;0318511;Montluçon-3;9504;218;9722
84;Auvergne-Rhône-Alpes;03;185;Montluçon;12;0318512;Montluçon-4;9222;236;9458
84;Auvergne-Rhône-Alpes;03;190;Moulins;13;0319013;Moulins-1;10404;356;10760
84;Auvergne-Rhône-Alpes;03;190;Moulins;14;0319014;Moulins-2;8939;170;9109
84;Auvergne-Rhône-Alpes;03;310;Vichy;17;0331017;Vichy-1;12423;120;12543
84;Auvergne-Rhône-Alpes;03;310;Vichy;18;0331018;Vichy-2;13366;182;13548
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;04;0407004;Digne-les-Bains-1;10427;570;10997
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;05;0407005;Digne-les-Bains-2;6765;362;7127
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;07;0411207;Manosque-1;8339;132;8471
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;08;0411208;Manosque-2;6832;197;7029
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;09;0411209;Manosque-3;7755;317;8072
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;02;0502302;Briançon-1;1934;52;1986
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;03;0502303;Briançon-2;8627;262;8889
93;Provence-Alpes-Côte d'Azur;05;061;Gap;06;0506106;Gap-1;10350;233;10583
93;Provence-Alpes-Côte d'Azur;05;061;Gap;07;0506107;Gap-2;10237;563;10800
93;Provence-Alpes-Côte d'Azur;05;061;Gap;08;0506108;Gap-3;10349;249;10598
93;Provence-Alpes-Côte d'Azur;05;061;Gap;09;0506109;Gap-4;9564;390;9954
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;01;0600401;Antibes-1;11460;118;11578
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;02;0600402;Antibes-2;30422;253;30675
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;03;0600403;Antibes-3;26870;379;27249
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;05;0602705;Cagnes-sur-Mer-1;43861;338;44199
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;06;0602706;Cagnes-sur-Mer-2;8719;116;8835
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;07;0603007;Cannes-1;14224;132;14356
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;07;0602907;Cannes-1;33881;261;34142
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;08;0602908;Cannes-2;39374;474;39848
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;09;0603009;Le Cannet;27373;240;27613
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;11;0606911;Grasse-1;18590;271;18861
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;12;0606912;Grasse-2;29733;569;30302
93;Provence-Alpes-Côte d'Azur;06;088;Nice;15;0608815;Nice-1;43804;414;44218
93;Provence-Alpes-Côte d'Azur;06;088;Nice;16;0608816;Nice-2;49222;427;49649
93;Provence-Alpes-Côte d'Azur;06;088;Nice;17;0608817;Nice-3;26309;255;26564
93;Provence-Alpes-Côte d'Azur;06;088;Nice;18;0608818;Nice-4;41751;354;42105
93;Provence-Alpes-Côte d'Azur;06;088;Nice;19;0608819;Nice-5;46963;295;47258
93;Provence-Alpes-Côte d'Azur;06;088;Nice;20;0608820;Nice-6;41919;605;42524
93;Provence-Alpes-Côte d'Azur;06;088;Nice;21;0608821;Nice-7;25714;132;25846
93;Provence-Alpes-Côte d'Azur;06;088;Nice;22;0608822;Nice-8;39946;161;40107
93;Provence-Alpes-Côte d'Azur;06;088;Nice;23;0608823;Nice-9;32457;283;32740
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;25;0600425;Valbonne;6378;267;6645
